ID,CLASS,Assignment,Company,Address,City,state,zip,country,Gem SQ,Gem Solar,Unnamed: 11,Sq Ft,Industry,Sub Industry,Notes,Geocoded_address,X,Y,Operator,Utility,Est. deal size,Resiliency Need,Owner-occupied?,Unnamed: 24,Unnamed: 25
1,1+,Yonah,Modway,329 Wyckoff Mills Rd,East Windsor,NJ,8520,United States,,,,"635,000",Warehouse,,,"329 Wyckoff Mills Rd, Hightstown, New Jersey, 08520",-74.5039,40.27663,PJM,JCP&L,Single,,,,
2,1+,Yonah,1330 Blue Hills We,1330 Blue Hills Ave,Bloomfield,CT,06002-5303,Hartford,,,,"232,537",Manufacturing,,,"1330 Blue Hills Ave, Bloomfield, Connecticut, 06002",-72.7098,41.85869,ISO-NE,,,,,,
3,1+,Julia,14 Grace Way Partners Llc,7 Grace Way,Canaan,CT,06018-2415,Litchfield,,,,"710,969",Manufacturing,,,"7 Grace Way, Canaan, Connecticut, 06018",-73.3356,42.01127,ISO-NE,,,,,,
4,1+,Yonah,3 G Realty LP,372 Stevens St,Fall River,MA,2721,United States,,,,,,,,"372 Stevens Street, Fall River, Massachusetts, 02721",-71.1446,41.67685,ISO-NE,N'Grid,,,,,
5,1+,Julia,300 Shaker Rd LLC,500 North St,Windsor Locks,CT,6096,Hartford,,,,"968,184",Distribution,,,"500 North St, Windsor Locks, Connecticut, 06096",-72.6599,41.93898,ISO-NE,,,,,,
6,CORE,Yonah,3M,1211 Fairview Dr,Dekalb,IL,60115,United States,,,N,"410,400",Industrial,,,"1211 Fairview Dr, Dekalb, Illinois, 60115",-88.7431,41.90742,PJM,Comed,Med,Low,No,,
7,CORE,Yonah,3M,1250 Macom Dr,Dekalb,IL,60115,United States,,,N,"650,760",Industrial,,,"1250 Macom Dr, Dekalb, Illinois, 60115",-88.7351,41.91252,PJM,Comed,Large,Low,No,,
8,CORE,Yonah,3M,22624 IL-84,Cordova,IL,61242,United States,,,N,"509,000",Distribution,,,"22624 IL-84, Cordova, Illinois, 61242",-90.2453,41.76936,PJM,Comed,Large,High,Yes,,
9,CORE,Yonah,3M,3050 Corporate Dr,Dekalb,IL,60115,United States,,,N,"400,000",Industrial,,,"3050 Corporate Dr, Dekalb, Illinois, 60115",-88.7594,41.89656,PJM,Comed,Med,Low,Yes,,
10,CORE+,Yonah,3M Distribution Center DK6,1650 Macom Dr,Dekalb,IL,60115,United States,,,N,"962,983",Distribution,,"3M has two sites here, FPP caught one","1650 Macom Dr, Dekalb, Illinois, 60115",-88.7312,41.9125,PJM,Comed,,,,,
11,CORE+,Yonah,3M Purification Inc.,400 Research Pky,Meriden,CT,6450,,,,N,,Manufacturing,,,"400 Research Pkwy, Meriden, Connecticut, 06450",-72.7656,41.5158,ISO-NE,,Med,High,,,
12,1+,Yonah,A&P Alloys Inc.,138 Barrows St,Norton,MA,2766,United States,,,,,,,,"138 Barrows Street, Norton, Massachusetts, 02766",-71.2018,41.94707,ISO-NE,N'Grid,,,,,
13,1+,Julia,"A. L. Ellis, Inc./Patriot Curtain",113 Griffin St,Fall River,MA,2724,United States,,,,,,,,"113 Griffin Street, Fall River, Massachusetts, 02724",-71.1728,41.68951,ISO-NE,N'Grid,,,,45993699,
14,CORE,Julia,A.P. Moller Maersk,11600 W Grand Ave,Northlake,IL,60164,United States,,,N,"300,000",Industrial,,,"11600 West Grand Avenue, Melrose Park, Illinois, 60164",-87.9163,41.93125,PJM,Comed,Large,Low,No,,
15,1+,Julia,AAA Mass Turnpike Warehouse Realty Trust,50 Howe Ave,Millbury,MA,1527,United States,,,,,,,,"50 Howe Avenue, Millbury, Massachusetts, 01527",-71.7575,42.19827,ISO-NE,N'Grid,,,,,
16,1+,Yonah,Abbott-Action HQ,3 Venus Way,Attleboro,MA,2703,United States,,,,,,,,"3 Venus Way, Attleboro, Massachusetts, 02703",-71.339,41.9025,ISO-NE,N'Grid,,,,,
17,1+,Julia,Acorn Management,75 David St,New Bedford,MA,2744,United States,,,,,,,,"75 David Street, New Bedford, Massachusetts, 02744",-70.9126,41.61347,ISO-NE,Eversource,,,,,
18,1+,Julia,Acushnet Holdings Corp.,700 Belleville Ave,New Bedford,MA,2745,United States,,,N,,Manufacturing,Sporting Goods,,"700 Belleville Avenue, New Bedford, Massachusetts, 02745",-70.9205,41.67308,ISO-NE,Eversource,,,,426320,www.acushnetholdingscorp.com
19,1+,Julia,Acushnet Holdings Corp.,257 Duchaine Blvd,New Bedford,MA,2745,United States,,,N,,Manufacturing,Sporting Goods,,"257 Duchaine Blvd, New Bedford, Massachusetts, 02745",-70.9548,41.72478,ISO-NE,Eversource,,,,426320,www.acushnetholdingscorp.com
20,1+,Yonah,Advance Fusion Systems,11 Edmund Rd,Newtown,CT,06470-1632,Fairfield,,,,"211,576",Warehouse,,,"11 Edmund Rd, Newtown, Connecticut, 06470",-73.3069,41.42564,ISO-NE,,,,,,
21,1+,Julia,"Agilent Technologies, Inc.",121 Hartwell Ave,Lexington,MA,2421,United States,,,,,Manufacturing,Test & Measurement Equipment,too small,"121 Hartwell Avenue, Lexington, Massachusetts, 02421",-71.2649,42.46287,ISO-NE,Eversource,,,,1967478,www.agilent.com
22,1+,Yonah,Ahlstrom Nonwovens LLC,1 Canal Bank Rd,Windsor Locks,CT,6096,Hartford,,,,"290,144",Manufacturing,,,"1 Canal Bank Rd, Windsor Locks, Connecticut, 06096",-72.6258,41.92784,ISO-NE,,,,,,
23,CORE,Yonah,Air Liquide,2330 Hamilton Blvd,South Plainfield,NJ,7080,United States,,,N,,Industrial,,,"2330 Hamilton Blvd, South Plainfield, New Jersey, 07080",-74.4179,40.56145,PJM,PSE&G,,,,,
24,1+,Julia,Airtec Products Corporation,1450 Brayton Ave,Fall River,MA,2721,United States,,,,,,,,"1450 Brayton Avenue, Fall River, Massachusetts, 02721",-71.1331,41.68066,ISO-NE,N'Grid,,,,2656364,
25,1+,Yonah,ALDI Distribution Center,1200 N Kirk Rd,Batavia,IL,60510,United States,,,N,"498,650",Food Distribution,,,"1200 N Kirk Rd, Batavia, Illinois, 60510",-88.2771,41.86661,PJM,Comed,,,,,
26,1+,Yonah,ALDI SÜD,295 Rye St,South Windsor,CT,6074,Hartford,,,,"500,000",Distribution,,,"295 Rye St, South Windsor, Connecticut, 06074",-72.5895,41.85805,ISO-NE,,,,,,
27,1+,Julia,Alfred W Boylan,527 Pleasant St,Attleboro,MA,2703,United States,,,,,,,,"527 Pleasant Street, Attleboro, Massachusetts, 02703",-71.2661,41.94755,ISO-NE,N'Grid,,,,,
28,1,Yonah,Alinabal Inc.,28 Woodmont Rd,Milford,CT,6460,,,,N,,Manufacturing,,,"28 Woodmont Rd, Milford, Connecticut, 06460",-73.0265,41.24198,ISO-NE,,Med,High,,,
29,1+,Yonah,AllTown,79 Lowland St,Holliston,MA,1746,United States,,,,,,,,"79 Lowland Street, Holliston, Massachusetts, 01746",-71.4135,42.21013,ISO-NE,Eversource,,,,3.58E+08,
30,CORE,X,Amazon,1125 Remington Blvd,Romeoville,IL,60446,United States,,,Y,"300,000",Warehouse,,,"1125 W Remington Blvd, Romeoville, Illinois, 60446",-88.117,41.67503,PJM,Comed,Large,High,No,,
31,CORE,X,Amazon,11400 Venture Ct,Huntley,IL,60142,United States,,,N,"1,160,150",Distribution,,,"11400 Venture Court, Huntley, Illinois, 60142",-88.4229,42.13441,PJM,Comed,Large,Low,No,,
32,CORE,X,Amazon,11500 Freeman Rd,Huntley,IL,60142,United States,,,N,"629,186",Distribution,,,"11500 Freeman Rd, Huntley, Illinois, 60142",-88.4243,42.12946,PJM,Comed,Large,Low,No,,
33,CORE,X,Amazon,1401 E Gurler Rd,Dekalb,IL,60115,United States,,,N,"300,000",Warehouse,,,"1401 E Gurler Rd, Dekalb, Illinois, 60115",-88.7365,41.89283,PJM,Comed,Med,Low,Unclear,,
34,CORE,X,Amazon,1550 N Kingsbury St,Chicago,IL,60642,United States,,,N,"300,000",Supermarket,,,"1550 N Kingsbury St, Chicago, Illinois, 60642",-87.6524,41.90882,PJM,Comed,Med,Low,No,,
35,CORE,X,Amazon,15924 Western Ave,Markham,IL,60428,United States,,,N,"750,000",Distribution,,,"15924 Western Avenue, Markham, Illinois, 60428",-87.6755,41.59947,PJM,Comed,Large,Low,No,,
36,CORE,X,Amazon,16824 Enterprise Blvd,Crest Hill,IL,60403,United States,,,N,"178,803",Warehouse,,,"16824 Enterprise Blvd, Crest Hill, Illinois, 60403",-88.1315,41.57888,PJM,Comed,Med,High,No,,
37,CORE,X,Amazon,1750 Bridge Dr,Waukegan,IL,60085,United States,,,N,"257,974",Warehouse,,,"1750 Bridge Dr, Waukegan, Illinois, 60085",-87.9008,42.32981,PJM,Comed,Med,Low,No,,
38,CORE,X,Amazon,201 Emerald Rd,Joliet,IL,60433,United States,,,N,"746,772",Distribution,,,"201 Emerald Dr, Joliet, Illinois, 60433",-88.0753,41.48543,PJM,Comed,Large,High,No,,
39,CORE,X,Amazon,23257 S Central Ave,University Park,IL,60449,United States,,,N,"1,080,632",Distribution,,,"23257 S Central Ave, University Park, Illinois, 60484",-87.7483,41.46698,PJM,Comed,Large,High,No,,
40,CORE,X,Amazon,23700 W Bluff Rd,Channahon,IL,60410,United States,,,N,"749,554",Distribution,,,"23700 W Bluff Rd, Channahon, Illinois, 60410",-88.188,41.43477,PJM,Comed,Large,High,No,,
41,CORE,X,Amazon,23714 W Amoco Rd,Channahon,IL,60410,United States,,,N,"509,000",Distribution,,,"23714 W Amoco Rd, Channahon, Illinois, 60410",-88.1889,41.44935,PJM,Comed,Large,High,No,,
42,CORE+,X,Amazon,250 Emerald Dr,Joliet,IL,60433,United States,,,N,"1,227,000",Warehouse/Distribution,,Amazon,"250 Emerald Dr, Joliet, Illinois, 60433",-88.0708,41.48299,PJM,Comed,,,,,
43,CORE,X,Amazon,2865 Duke Pkwy,Aurora,IL,60502,United States,,,N,"509,000",Distribution,,,"2865 Duke Pkwy, Aurora, Illinois, 60502",-88.2128,41.81635,PJM,Comed,Large,Low,No,,
44,CORE,X,Amazon,30260 S Graaskamp Blvd,Wilmington,IL,60481,United States,,,N,"810,900",Distribution,,,"30260 S Graaskamp Blvd, Wilmington, Illinois, 60481",-88.2055,41.33728,PJM,Comed,Large,High,No,,
45,CORE,X,Amazon,3900 S Brandon Rd,Elwood,IL,60421,United States,,,N,"199,209",Warehouse,,,"3900 S Brandon Rd, Elwood, Illinois, 60421",-88.0988,41.45671,PJM,Comed,Large,High,No,,
46,CORE,X,Amazon,401 E Laraway Rd,Joliet,IL,60433,United States,,,N,"199,209",Warehouse,,,"401 E Laraway Rd, Joliet, Illinois, 60433",-88.0702,41.48112,PJM,Comed,Med,High,No,,
47,CORE,X,Amazon,4300 N Brandon Rd,Elwood,IL,60421,United States,,,N,"1,035,034",Distribution,,,"4300 Brandon Rd, Elwood, Illinois, 60421",-88.1082,41.44615,PJM,Comed,Large,High,No,,
48,CORE,X,Amazon,6605 W Monee Manhattan Rd,Monee,IL,60449,United States,,,Y,"1,437,000",Distribution,,,"6605 W Manhattan-Monee Rd, Monee, Illinois, 60449",-87.7707,41.42682,PJM,Comed,Large,High,No,,
49,CORE,X,Amazon,7001 Vollmer Rd,Matteson,IL,60443,United States,,,N,"823,173",Distribution,,,"7001 Vollmer Rd, Matteson, Illinois, 60443",-87.7883,41.52793,PJM,Comed,Large,Low,Yes,,
50,CORE,X,Amazon,300 Dan Rd,Canton,MA,2021,United States,,,N,,Manufacturing,,,"300 Dan Road, Canton, Massachusetts, 02021",-71.1212,42.15575,ISO-NE,Eversource,Med,Low,No,,
51,CORE,X,Amazon,53 Sturbridge Rd,Charlton,MA,1507,United States,,,N,"533,000",Distribution,,,"53 Sturbridge Road, Charlton, Massachusetts, 01507",-72.0035,42.14399,ISO-NE,N'Grid,Large,Medium,No,,
52,CORE,X,Amazon,1180 Innovation Way,Fall River,MA,2722,United States,,,Y,,Distribution,,,"1180 Innovation Way, Fall River, Massachusetts, 02720",-71.0996,41.76172,ISO-NE,N'Grid,Large,Low,No,,
53,CORE,X,Amazon,25 Computer Dr,Haverhill,MA,1832,United States,,,N,"144,000",Warehouse/Distribution,,,"25 Computer Drive, Haverhill, Massachusetts, 01832",-71.1191,42.78671,ISO-NE,N'Grid,Large,Low,No,,
54,CORE,X,Amazon,1450 Osgood St,North Andover,MA,1845,United States,,,N,"660,000",Distribution,,,"1450 Osgood Street, North Andover, Massachusetts, 01845",-71.1184,42.73352,ISO-NE,N'Grid,Large,Low,No,,
55,CORE,X,Amazon,135 American Legion Hwy,Revere,MA,2151,United States,,,N,"484,200",Warehouse,,,"135 American Legion Highway, Revere, Massachusetts, 02151",-71.0028,42.41245,ISO-NE,N'Grid,Large,Low,No,,
56,CORE,X,Amazon,64 Otis St,Westborough,MA,1581,United States,,,N,,Manufacturing,,,"64 Otis Street, Westborough, Massachusetts, 01581",-71.6547,42.27795,ISO-NE,N'Grid,Large,Medium,Unclear,,
57,CORE,X,Amazon,50 Otis St,Westborough,MA,1581,United States,,,N,,R&D,,,"50 Otis Street, Westborough, Massachusetts, 01581",-71.6487,42.27756,ISO-NE,N'Grid,Large,Medium,No,,
58,CORE+,X,Amazon,7 Neponset St,Worcester,MA,1606,United States,,,,"145,000",Warehouse,,,"7 Neponset Street, Worcester, Massachusetts, 01606",-71.801,42.29795,,N'Grid,,,,,
59,CORE+,X,Amazon,34 Market St,Everett,MA,2149,United States,,,,"223,000",Warehouse,,,"34 Market Street, Everett, Massachusetts, 02149",-71.0526,42.39891,ISO-NE,N'Grid,Large,Low,,,
60,CORE,X,Amazon,200 Old Iron Ore Rd,Windsor,CT,6095,Hartford,,,Y,"1,017,517",Distribution,,,"200 Old Iron Ore Rd, Windsor, Connecticut, 06095",-72.7075,41.8738,ISO-NE,Eversource,Large,Extremely High,No,,
61,CORE,X,Amazon,1201 Kennedy Rd,Windsor,CT,6095,Hartford,,,Y,"820,000",Distribution,,,"1201 Kennedy Rd, Windsor, Connecticut, 06095",-72.6563,41.89761,ISO-NE,Eversource,Large,Extremely High,Unclear,,
62,CORE,X,Amazon,409-415 Washington Ave,North Haven,CT,6473,New Haven,,,Y,"855,000",Distribution,,,"409 Washington Ave, North Haven, Connecticut, 06473",-72.843,41.41016,ISO-NE,United Illuminating,Large,High,No,,
63,CORE+,X,Amazon,8 Old Sherman Tpke,Danbury,CT,06810-4124,Fairfield,,,,"296,516",Distribution,,,"8-24 Old Sherman Tpke, Danbury, Connecticut, 06810",-73.4075,41.4105,ISO-NE,,,,,,
64,CORE,X,Amazon,301 Blair Rd,Avenel,NJ,7001,United States,,,PV,,Warehouse,,,"301 Blair Rd, Avenel, New Jersey, 07001",-74.2541,40.58197,PJM,PSE&G,,,,,
65,CORE,X,Amazon,275 Omar Ave,Avenel,NJ,7001,United States,,,PV,,Warehouse,,,"275 Omar Ave, Avenel, New Jersey, 07001",-74.2576,40.58482,PJM,PSE&G,,,,,
66,CORE,X,Amazon,1101 E Pearl St,Burlington,NJ,8016,United States,,,PV,,Distribution,,,"1101 E Pearl St, Burlington, New Jersey, 08016",-74.8413,40.08318,PJM,PSE&G,,,,,
67,CORE,X,Amazon,8003 Industrial Ave,Carteret,NJ,7008,United States,,,PV,,Warehouse,,,"8003 Industrial Ave, Carteret, New Jersey, 07008",-74.2267,40.5967,PJM,PSE&G,,,,,
68,CORE,X,Amazon,380 Middlesex Ave,Carteret,NJ,7008,United States,,,PV,,Warehouse,,,"380 Middlesex Ave, Carteret, New Jersey, 07008",-74.2221,40.56503,PJM,PSE&G,,,,,
